Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
21,1008138834,Ricarica,55336.429912994965,2938.931181805114,0.8497638713378431,0.0,0.0
21,1008138834,Ricarica,56073.70776427939,2852.7914477323925,0.8648876014285074,0.0,0.0
21,1008138834,Ricarica,56417.40180255299,2713.3971472069043,0.8657107043081541,0.0,0.0
21,1008138834,Ricarica,58610.9442240058,2713.3971472069043,0.8333110700803209,0.0,0.0
21,1008138834,Ricarica,58669.20756692335,2716.6339995912126,0.8334766058815909,0.0,0.0
21,1008138834,Ricarica,58935.76142850747,2601.711563990003,0.8387525420499504,0.0,0.0
21,1008138834,Ricarica,59571.89491190745,2503.432659960502,0.8404744095055156,0.0,0.0
21,1008138834,Ricarica,62103.7781570604,2503.432659960502,0.8062094559301443,0.0,0.0
21,1008138834,Ricarica,62188.70419278508,2388.2656778540345,0.8064740998535449,0.0,0.0
21,1008138834,Ricarica,68142.68738624854,2388.2656778540345,0.736008237401214,0.0,0.0
21,1008138834,Ricarica,75545.53906554476,2740.7824244871877,0.7618772944924502,0.0,0.0
21,1008138834,Ricarica,75953.84913144122,2653.3205020919945,0.7685331515590071,0.0,0.0
21,1008138834,Ricarica,76141.19432305777,2546.104184245236,0.7691026750798764,0.0,0.0
21,1008138834,Ricarica,78690.73751032562,2546.104184245236,0.7441841071823259,0.0,0.0
21,1008138834,Ricarica,79569.3820358667,2476.6266984658964,0.7470089529712417,0.0,0.0
21,1008138834,Ricarica,80936.6904367632,2476.6266984658964,0.7343893164203686,0.0,0.0
21,1008138834,Ricarica,82009.43649839853,2521.324451034035,0.7378637070137473,0.0,0.0
21,1008138834,Ricarica,82159.3951600716,2432.4681659265193,0.7401673786629418,0.0,0.0
21,1008138834,Ricarica,84290.86311410378,2420.891234699814,0.7467377812585637,0.0,0.0
21,1008138834,Ricarica,86060.87980186506,2420.891234699814,0.7313796029869438,0.0,0.0
21,1008138834,Ricarica,86292.34166849597,2339.801258104669,0.7321001232243786,0.0,0.0
22,484764695,Ricarica,2094.749593289897,NaN,0.0,0.0,0.0
22,484764695,Ricarica,2404.0565074884753,Infinity,0.12866041760462288,0.0,0.0
22,484764695,Ricarica,3546.9908511137014,2595.1756014490306,0.7316555667557431,0.0,0.0
22,484764695,Ricarica,4351.512971050725,3399.6977213860546,0.7812679736917242,0.0,0.0
22,484764695,Ricarica,6270.117895867761,3618.453785510063,1.1541900313851379,0.0,0.0
22,484764695,Ricarica,8377.368356090861,3114.719343747742,1.1154049379301139,0.0,0.0
22,484764695,Ricarica,9004.964040401366,3114.719343747742,1.037667445346816,0.0,0.0
22,484764695,Ricarica,9974.680465731824,2578.4686141434213,1.0340054994249859,0.0,0.0
22,484764695,Ricarica,10084.904883106417,2578.4686141434213,1.022704187706403,0.0,0.0
22,484764695,Ricarica,10130.968935608087,2071.987701815071,1.022600955044141,0.0,0.0
22,484764695,Ricarica,11266.590364999363,2071.987701815071,0.9195273967942776,0.0,0.0
22,484764695,Ricarica,14247.353804387354,2668.140389692669,0.9363634911877592,0.0,0.0
22,484764695,Ricarica,17718.28375479496,3380.4269748797597,1.1447249705429086,0.0,0.0
22,484764695,Ricarica,18689.18273675076,3542.243471872393,1.1372065397723974,0.0,0.0
22,484764695,Ricarica,19201.791616145423,3182.668370003383,1.16023957739918,0.0,0.0
22,484764695,Ricarica,20533.93526449646,2951.35277979684,1.1498439989337188,0.0,0.0
22,484764695,Ricarica,24062.99671749277,2951.35277979684,0.9812087212400549,0.0,0.0
22,484764695,Ricarica,26502.83525893942,3256.3325974776712,0.9829386375193374,0.0,0.0
22,484764695,Ricarica,27256.266574657096,3061.9470456951913,1.0110527549976245,0.0,0.0
22,484764695,Ricarica,28224.125495393328,3169.486925776995,1.0106737350161228,0.0,0.0
22,484764695,Ricarica,28827.85381571924,2973.283897264478,1.0313927343572165,0.0,0.0
22,484764695,Ricarica,30391.51216784946,3129.6497324775,1.0297775626275978,0.0,0.0
22,484764695,Ricarica,31444.337319615872,3036.558875300711,1.0622627307674446,0.0,0.0
22,484764695,Ricarica,32995.06493842458,3177.53411337423,1.059336458720285,0.0,0.0
22,484764695,Ricarica,33283.24292085059,2960.7692676640468,1.0674810533474473,0.0,0.0
22,484764695,Ricarica,33557.15069102044,2983.5949151782006,1.0669302442212107,0.0,0.0
22,484764695,Ricarica,33635.83932237462,2996.709687070563,1.0691130939291222,0.0,0.0
22,484764695,Ricarica,35298.13613259397,3412.283889625402,1.160044443187876,0.0,0.0
