Run Index,Center,E[T_S],E[N_S],E[T_Q],E[N_Q]
13,Ricarica,2424.178061554066,1.0507286483787845,0.0,0.0
13,Parcheggio,85.52427572191819,0.24406985276107004,1.512730983561095E-13,4.3170436149071454E-16
13,Strada,1765.1433688462091,5.016088787856768, , 
14,Noleggio,6269.923533640428,19.293209825276232,0.0,0.0
14,Ricarica,2696.4575487258476,1.1439545467952068,8.779150246280349E-13,3.724497293115644E-16
14,Parcheggio,92.144169024792,0.28114745994135215,0.0,0.0
14,Strada,1776.204919735718,5.3968248469316205, , 
15,Noleggio,16607.498651660222,44.221480405448276,0.0,0.0
15,Ricarica,3239.7266080173863,0.7540215605879835,7.73070496506989E-13,1.7992623846042717E-16
15,Parcheggio,90.53018447968286,0.22053754369016032,1.5537201155287524E-13,3.7849654215341053E-16
15,Strada,1627.9957124505006,4.23746688684266, , 
16,Noleggio,9187.239386076439,24.32686594065701,0.0,0.0
16,Ricarica,2961.4982488026267,0.705352977822474,0.0,0.0
16,Parcheggio,107.20985787269586,0.30047644566629395,2.926731400849867E-13,8.202733090006922E-16
16,Strada,1903.6633787524638,4.900072354708552, , 
17,Noleggio,2899.7449634352442,9.108084672875798,0.0,0.0
17,Ricarica,3158.623092177966,0.8239904042754682,0.0,0.0
17,Parcheggio,102.64372235473814,0.32384928861377266,0.0,0.0
17,Strada,1631.7273611215676,5.040750283009034, , 
18,Noleggio,28466.719264759166,69.22992695303655,0.0,0.0
18,Ricarica,1994.7693659158522,0.5573567873327225,0.0,0.0
18,Parcheggio,91.94159194469272,0.21031292257785172,0.0,0.0
18,Strada,1838.1346995007457,4.4351890595962145, , 
19,Noleggio,9454.551269597938,25.772175486068196,0.0,0.0
19,Ricarica,3159.5592397196187,0.732705789287215,0.0,0.0
19,Parcheggio,96.04698218481873,0.2630709478628343,9.875339717343765E-14,2.7048376958997753E-16
19,Strada,1784.9870404820715,4.816323521748962, , 
20,Noleggio,5771.411845256677,17.10024927683215,0.0,0.0
20,Ricarica,3022.3630374694485,1.1904265810782406,0.0,0.0
20,Parcheggio,93.1492060996893,0.26127256120573616,0.0,0.0
20,Strada,1848.391030791622,5.327586987820486, , 
21,Noleggio,20159.902524471534,53.54771634044791,0.0,0.0
21,Ricarica,2869.9020616259804,0.8098431307392415,0.0,0.0
21,Parcheggio,97.68323078253836,0.2452577842589116,1.0687610550787867E-13,2.6833875801505134E-16
21,Strada,1905.1756314898655,4.966149732362236, , 
22,Noleggio,5364.963794196842,17.94784426106764,0.0,0.0
22,Ricarica,1779.836165590991,0.6494341211761159,0.0,0.0
22,Parcheggio,109.74158011721777,0.35182974073298706,7.059254905457747E-14,2.2631857683317574E-16
22,Strada,1854.1226966658808,6.073968844086584, , 
23,Noleggio,8445.004305471222,26.090885063671337,0.0,0.0
23,Ricarica,3276.969984097179,0.8349291961072917,0.0,0.0
23,Parcheggio,89.09433259093065,0.256250057047913,0.0,0.0
23,Strada,1907.5072364725963,5.765821658632474, , 
24,Noleggio,26746.786518446937,66.85784525880352,0.0,0.0
24,Ricarica,2725.5837349426597,0.7161396262337232,4.134066826240583E-14,1.0862146826802404E-17
24,Parcheggio,90.2536346637085,0.21908134789810513,0.0,0.0
24,Strada,1833.5427825011418,4.519279621781487, , 
25,Noleggio,12530.66082607539,37.425380058227354,0.0,0.0
25,Ricarica,2144.5495314617137,0.8464919644419939,1.4712414293385605E-13,5.807252429559838E-17
25,Parcheggio,95.77489421939184,0.2561125765219647,0.0,0.0
25,Strada,1823.3526476785532,5.295275564800352, , 
26,Noleggio,4541.353761610942,15.092912777696991,0.0,0.0
26,Ricarica,2003.3114171065174,0.5570140291687381,0.0,0.0
26,Parcheggio,103.51829106992967,0.33302425207767644,6.006386435382142E-14,1.9322888058318077E-16
26,Strada,1887.6738668674104,6.123382949461065, , 
27,Noleggio,23365.209097945277,60.019593084178844,0.0,0.0
27,Ricarica,2906.4555248244556,0.6101582492091476,0.0,0.0
27,Parcheggio,94.2550525117501,0.23511985993870474,2.310751073690521E-13,5.764184033864893E-16
27,Strada,1722.5099268861886,4.307950882895202, , 
28,Noleggio,4124.348902590902,11.537194924957143,0.0,0.0
28,Ricarica,2355.046522651563,0.7695490218982767,6.496390726949488E-13,2.122799308509743E-16
28,Parcheggio,95.76071778877184,0.25920927354271966,0.0,0.0
28,Strada,1863.2271367927663,5.042982493803845, , 
29,Noleggio,5992.491966706543,18.4036624740757,0.0,0.0
29,Ricarica,2338.0007744528934,0.5146206999309263,2.674984416979201E-13,5.887946522568156E-17
29,Parcheggio,98.73561822687047,0.2842800326847569,0.0,0.0
29,Strada,1774.7346414834874,5.314186515947824, , 
30,Noleggio,14028.362975521284,40.8564211826901,0.0,0.0
30,Ricarica,2956.3559587201876,0.7753486355884331,0.0,0.0
