Seed,Center,Completion Time,Taken Time
1768028919,Ricarica,21054.391576879352,30348.09504695103
1768028919,Parcheggio,21054.391576879352,30408.797490579178
1768028919,Parcheggio,21201.213057369325,30603.270026204184
1768028919,Parcheggio,21285.473580974838,31823.991783744154
1768028919,Parcheggio,21914.552275253787,31933.122134777517
1768028919,Parcheggio,22350.330922805402,31971.050395325812
1768028919,Parcheggio,22353.1088208311,32399.450883889163
1768028919,Parcheggio,22833.258656758007,32470.693501239617
1768028919,Parcheggio,23185.559459789605,32834.59278448638
1768028919,Parcheggio,23207.598641645236,33321.912891049964
1768028919,Parcheggio,23295.443669964658,33379.6678178838
1768028919,Parcheggio,23309.52021932288,33439.309447993415
1768028919,Parcheggio,23406.470297051943,33936.28606542238
1768028919,Parcheggio,23417.446737992832,34006.62036783474
1768028919,Parcheggio,23907.324215770986,34101.46691211008
1768028919,Ricarica,24686.496470329497,34110.87626140037
1768028919,Parcheggio,24686.496470329497,34318.282055830656
1768028919,Ricarica,25470.734775829453,34366.747136496066
1768028919,Parcheggio,25470.734775829453,35018.90007178873
1768028919,Parcheggio,25500.971882562484,35694.7375409607
1768028919,Parcheggio,26238.66860332371,35877.89702100166
1768028919,Ricarica,27582.78193589532,36445.735166100785
1768028919,Parcheggio,27582.78193589532,36818.74584364535
1768028919,Parcheggio,28357.755258591562,36855.49664473489
1768028919,Parcheggio,28848.984226613044,37048.974725240056
1768028919,Parcheggio,29219.58599185033,37102.68389988146
1768028919,Parcheggio,29227.93652425199,37353.37116443204
1768028919,Parcheggio,29454.511396772537,37569.90436633261
1768028919,Parcheggio,29634.024913954407,37936.309673562435
1768028919,Parcheggio,30029.186860583493,37997.72825150584
1768028919,Parcheggio,30515.43902903986,38196.91029278783
1768028919,Parcheggio,30723.769980359622,38255.73120965794
1768028919,Parcheggio,30763.57192390425,38416.00194047139
1768028919,Parcheggio,30920.336819927572,38651.57683412616
1768028919,Parcheggio,31099.189617662,38697.425280159136
1768028919,Parcheggio,31264.129267389642,38729.44194434634
1768028919,Parcheggio,31598.291454764803,38802.91520957885
1768028919,Parcheggio,33597.43513731161,39166.228583935605
1768028919,Parcheggio,33808.3021222258,39578.8577585341
1768028919,Parcheggio,34600.89317508244,39749.56132291368
1768028919,Parcheggio,34752.24307522623,39978.683292320464
1768028919,Parcheggio,34930.032292096424,40213.865859652135
1768028919,Parcheggio,35118.758282936906,40231.926590336705
1768028919,Parcheggio,35573.99453202745,40332.977346002255
1768028919,Parcheggio,35883.86649154442,40418.96721200618
1768028919,Parcheggio,35934.50619969007,40830.249611031075
1768028919,Parcheggio,36300.79828627587,40971.16838725816
1768028919,Parcheggio,36448.382247684116,41098.62577186107
1768028919,Parcheggio,36653.08794208241,41249.637155408775
1768028919,Parcheggio,36814.634598445635,41606.94441903844
1768028919,Parcheggio,37020.94198966277,42642.218438961216
1768028919,Parcheggio,37360.40226030619,42963.04373432484
1768028919,Parcheggio,37557.058989553254,42991.10031838836
1768028919,Ricarica,38380.016245786755,43383.8825968517
1768028919,Parcheggio,38380.016245786755,43402.52775839862
1768028919,Ricarica,38602.19285371169,43809.49189293084
1768028919,Parcheggio,38602.19285371169,44433.23845420467
1768028919,Parcheggio,38614.69006493946,44585.00397743017
1768028919,Parcheggio,39115.55448757198,45514.50287613005
1768028919,Parcheggio,39367.2428252782,45989.414347088044
1768028919,Parcheggio,39601.62236552141,46221.22390704921
1768028919,Parcheggio,40126.9147116504,46262.09779993728
1768028919,Parcheggio,40196.02064667535,46410.27331228859
